Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios
Andalucía,2020-03-17,683,7.97,11,683,11
Aragón,2020-03-17,207,15.69,12,207,12
Cantabria,2020-03-17,58,8.26,0,58,0
Castilla y León,2020-03-17,431,17.63,12,431,12
Castilla-La Mancha,2020-03-17,567,27.55,17,567,17
Cataluña,2020-03-17,1394,17.97,18,1394,18
Ceuta,2020-03-17,1,1.18,0,1,0
Comunidad de Madrid,2020-03-17,4871,72.37,355,4871,355
Comunidad Foral de Navarra,2020-03-17,313,47.69,2,313,2
Comunidad Valenciana,2020-03-17,541,10.51,13,541,13
España,2020-03-17,11178,23.45,491,11178,491
Extremadura,2020-03-17,153,13.77,3,153,3
Galicia,2020-03-17,292,10.82,3,292,3
Islas Baleares,2020-03-17,92,7.83,1,92,1
Islas Canarias,2020-03-17,148,6.55,2,148,2
La Rioja,2020-03-17,355,111.11,5,355,5
Melilla,2020-03-17,17,19.66,0,17,0
País Vasco,2020-03-17,765,34.06,36,765,36
Principado de Asturias,2020-03-17,193,18.77,1,193,1
Región de Murcia,2020-03-17,97,6.49,0,97,0
Andalucía,2020-03-18,859,10.07,19,176,8
Aragón,2020-03-18,226,17.13,13,19,1
Cantabria,2020-03-18,68,9.98,1,10,1
Castilla y León,2020-03-18,668,27.38,22,237,10
Castilla-La Mancha,2020-03-18,675,32.61,28,108,11
Cataluña,2020-03-18,1866,24.12,41,472,23
Ceuta,2020-03-18,1,1.18,0,0,0
Comunidad de Madrid,2020-03-18,5637,83.55,390,766,35
Comunidad Foral de Navarra,2020-03-18,386,58.54,3,73,1
Comunidad Valenciana,2020-03-18,726,14.13,22,185,9
España,2020-03-18,13716,28.75,598,2538,107
Extremadura,2020-03-18,194,17.61,6,41,3
Galicia,2020-03-18,341,12.59,3,49,0
Islas Baleares,2020-03-18,112,9.31,1,20,0
Islas Canarias,2020-03-18,181,8.08,3,33,1
La Rioja,2020-03-18,419,130.05,5,64,0
Melilla,2020-03-18,20,23.12,0,3,0
País Vasco,2020-03-18,973,43.3,40,208,4
Principado de Asturias,2020-03-18,242,23.46,1,49,0
Región de Murcia,2020-03-18,122,8.17,0,25,0
Andalucía,2020-03-19,1008,11.84,23,149,4
Aragón,2020-03-19,281,21.22,15,55,2
Cantabria,2020-03-19,83,12.56,1,15,0
Castilla y León,2020-03-19,868,35.72,29,200,7
Castilla-La Mancha,2020-03-19,801,38.76,42,126,14
Cataluña,2020-03-19,2702,34.89,55,836,14
Ceuta,2020-03-19,1,1.18,0,0,0
Comunidad de Madrid,2020-03-19,6777,100.35,498,1140,108
Comunidad Foral de Navarra,2020-03-19,482,73.22,4,96,1
Comunidad Valenciana,2020-03-19,921,18.03,24,195,2
España,2020-03-19,17147,35.96,767,3431,169
Extremadura,2020-03-19,241,22.01,8,47,2
Galicia,2020-03-19,453,16.74,4,112,1
Islas Baleares,2020-03-19,169,14.18,2,57,1
Islas Canarias,2020-03-19,220,9.84,3,39,0
La Rioja,2020-03-19,468,144.26,5,49,0
Melilla,2020-03-19,23,26.59,0,3,0
País Vasco,2020-03-19,1190,53.13,53,217,13
Principado de Asturias,2020-03-19,292,28.06,1,50,0
Región de Murcia,2020-03-19,167,11.18,0,45,0
Andalucía,2020-03-20,1287,15.05,30,279,7
Aragón,2020-03-20,360,26.83,17,79,2
Cantabria,2020-03-20,144,23.06,1,61,0
Castilla y León,2020-03-20,1147,47.22,43,279,14
Castilla-La Mancha,2020-03-20,1044,50.62,62,243,20
Cataluña,2020-03-20,3270,42.29,82,568,27
Ceuta,2020-03-20,5,5.9,0,4,0
Comunidad de Madrid,2020-03-20,7165,105.47,628,388,130
Comunidad Foral de Navarra,2020-03-20,554,84.22,5,72,1
Comunidad Valenciana,2020-03-20,1105,21.48,33,184,9
España,2020-03-20,19980,41.71,1002,2833,235
Extremadura,2020-03-20,297,27.25,10,56,2
Galicia,2020-03-20,578,21.3,5,125,1
Islas Baleares,2020-03-20,203,17.14,2,34,0
Islas Canarias,2020-03-20,287,12.82,4,67,1
La Rioja,2020-03-20,497,147.73,7,29,2
Melilla,2020-03-20,24,27.75,0,1,0
País Vasco,2020-03-20,1465,64.32,71,275,18
Principado de Asturias,2020-03-20,344,33.14,2,52,1
Región de Murcia,2020-03-20,204,13.66,0,37,0
Andalucía,2020-03-21,1515,17.68,40,228,10
Aragón,2020-03-21,424,31.3,22,64,5
Cantabria,2020-03-21,215,35.28,2,71,1
Castilla y León,2020-03-21,1466,60.51,55,319,12
Castilla-La Mancha,2020-03-21,1423,69.26,84,379,22
Cataluña,2020-03-21,4203,54.45,122,933,40
Ceuta,2020-03-21,5,5.9,0,0,0
Comunidad de Madrid,2020-03-21,8921,131.82,804,1756,176
Comunidad Foral de Navarra,2020-03-21,664,101.04,9,110,4
Comunidad Valenciana,2020-03-21,1363,26.64,50,258,17
España,2020-03-21,24926,52.18,1326,4946,324
Extremadura,2020-03-21,354,32.59,12,57,2
Galicia,2020-03-21,739,27.26,9,161,4
Islas Baleares,2020-03-21,246,20.88,4,43,2
Islas Canarias,2020-03-21,348,15.65,7,61,3
La Rioja,2020-03-21,564,165.72,15,67,8
Melilla,2020-03-21,25,28.91,0,1,0
País Vasco,2020-03-21,1725,76.09,85,260,14
Principado de Asturias,2020-03-21,486,47.03,5,142,3
Región de Murcia,2020-03-21,240,16.07,1,36,1
Andalucía,2020-03-22,1725,20.1,47,210,7
Aragón,2020-03-22,532,39.49,24,108,2
Cantabria,2020-03-22,282,46.47,5,67,3
Castilla y León,2020-03-22,1744,71.76,74,278,19
Castilla-La Mancha,2020-03-22,1819,88.74,112,396,28
Cataluña,2020-03-22,4704,60.65,191,501,69
Ceuta,2020-03-22,5,5.9,0,0,0
Comunidad de Madrid,2020-03-22,9702,142.98,1021,781,217
Comunidad Foral de Navarra,2020-03-22,794,120.91,14,130,5
Comunidad Valenciana,2020-03-22,1604,31.32,69,241,19
España,2020-03-22,28572,59.64,1720,3646,394
Extremadura,2020-03-22,384,35.4,14,30,2
Galicia,2020-03-22,915,33.71,12,176,3
Islas Baleares,2020-03-22,331,28.1,4,85,0
Islas Canarias,2020-03-22,414,18.44,9,66,2
La Rioja,2020-03-22,654,189.08,18,90,3
Melilla,2020-03-22,25,28.91,0,0,0
País Vasco,2020-03-22,2097,91.81,97,372,12
Principado de Asturias,2020-03-22,545,52.6,8,59,3
Región de Murcia,2020-03-22,296,19.75,1,56,0
Andalucía,2020-03-23,1961,22.66,58,236,11
Aragón,2020-03-23,638,47.37,32,106,8
Cantabria,2020-03-23,347,57.65,6,65,1
Castilla y León,2020-03-23,2055,84.68,102,311,28
Castilla-La Mancha,2020-03-23,2078,100.94,145,259,33
Cataluña,2020-03-23,5925,76.22,245,1221,54
Ceuta,2020-03-23,6,7.08,0,1,0
Comunidad de Madrid,2020-03-23,10575,151.66,1263,873,242
Comunidad Foral de Navarra,2020-03-23,886,134.97,24,92,10
Comunidad Valenciana,2020-03-23,1901,37.25,94,297,25
España,2020-03-23,33089,68.24,2182,4517,462
Extremadura,2020-03-23,493,45.52,18,109,4
Galicia,2020-03-23,1208,44.53,18,293,6
Islas Baleares,2020-03-23,400,33.84,10,69,6
Islas Canarias,2020-03-23,481,21.32,11,67,2
La Rioja,2020-03-23,747,210.23,22,93,4
Melilla,2020-03-23,28,32.37,0,3,0
País Vasco,2020-03-23,2421,102.91,120,324,23
Principado de Asturias,2020-03-23,594,57.39,12,49,4
Región de Murcia,2020-03-23,345,22.83,2,49,1
Andalucía,2020-03-24,2471,28.52,87,510,29
Aragón,2020-03-24,758,54.57,37,120,5
Cantabria,2020-03-24,425,71.07,9,78,3
Castilla y León,2020-03-24,2460,100.19,124,405,22
Castilla-La Mancha,2020-03-24,2465,119.34,216,387,71
Cataluña,2020-03-24,7864,100.84,282,1939,37
Ceuta,2020-03-24,6,7.08,0,0,0
Comunidad de Madrid,2020-03-24,12352,173.64,1535,1777,272
Comunidad Foral de Navarra,2020-03-24,1014,153.16,31,128,7
Comunidad Valenciana,2020-03-24,2167,42.31,115,266,21
España,2020-03-24,39673,80.91,2696,6584,514
Extremadura,2020-03-24,636,58.82,26,143,8
Galicia,2020-03-24,1415,51.6,20,207,2
Islas Baleares,2020-03-24,478,40.45,10,78,0
Islas Canarias,2020-03-24,557,24.71,16,76,5
La Rioja,2020-03-24,802,207.7,30,55,8
Melilla,2020-03-24,28,32.37,0,0,0
País Vasco,2020-03-24,2728,114.73,133,307,13
Principado de Asturias,2020-03-24,662,62.57,22,68,10
Región de Murcia,2020-03-24,385,25.17,3,40,1
Andalucía,2020-03-25,3010,34.57,113,539,26
Aragón,2020-03-25,907,65.09,40,149,3
Cantabria,2020-03-25,510,85.57,14,85,5
Castilla y León,2020-03-25,2940,119.4,165,480,41
Castilla-La Mancha,2020-03-25,2780,132.9,263,315,47
Cataluña,2020-03-25,9937,128.54,516,2073,234
Ceuta,2020-03-25,9,10.66,0,3,0
Comunidad de Madrid,2020-03-25,14597,203.02,1825,2245,290
Comunidad Foral de Navarra,2020-03-25,1197,176.39,33,183,2
Comunidad Valenciana,2020-03-25,2616,51.03,143,449,28
España,2020-03-25,47610,96.56,3434,7937,738
Extremadura,2020-03-25,742,68.97,39,106,13
Galicia,2020-03-25,1653,59.95,27,238,7
Islas Baleares,2020-03-25,562,45.55,13,84,3
Islas Canarias,2020-03-25,657,27.92,21,100,5
La Rioja,2020-03-25,928,238.17,37,126,7
Melilla,2020-03-25,38,45.08,0,10,0
País Vasco,2020-03-25,3271,139.6,155,543,22
Principado de Asturias,2020-03-25,779,73.24,25,117,3
Región de Murcia,2020-03-25,477,31.18,5,92,2
Andalucía,2020-03-26,3406,38.96,134,396,21
Aragón,2020-03-26,1116,79.43,48,209,8
Cantabria,2020-03-26,671,112.55,17,161,3
Castilla y León,2020-03-26,3488,141.33,206,548,41
Castilla-La Mancha,2020-03-26,3383,160.32,316,603,53
Cataluña,2020-03-26,11592,148.92,672,1655,156
Ceuta,2020-03-26,10,11.84,0,1,0
Comunidad de Madrid,2020-03-26,17166,236,2090,2569,265
Comunidad Foral de Navarra,2020-03-26,1411,205.05,49,214,16
Comunidad Valenciana,2020-03-26,3200,62.5,167,584,24
España,2020-03-26,56188,113.03,4089,8578,655
Extremadura,2020-03-26,969,89.39,58,227,19
Galicia,2020-03-26,1915,69.66,32,262,5
Islas Baleares,2020-03-26,660,53.23,17,98,4
Islas Canarias,2020-03-26,784,33.01,24,127,3
La Rioja,2020-03-26,995,251.2,43,67,6
Melilla,2020-03-26,39,46.27,1,1,1
País Vasco,2020-03-26,3946,164.99,180,675,25
Principado de Asturias,2020-03-26,841,77.84,27,62,2
Región de Murcia,2020-03-26,596,38.14,8,119,3
Andalucía,2020-03-27,3793,42.48,144,387,10
Aragón,2020-03-27,1338,95.35,58,222,10
Cantabria,2020-03-27,810,134.41,21,139,4
Castilla y León,2020-03-27,4132,165.16,252,644,46
Castilla-La Mancha,2020-03-27,3934,183.98,367,551,51
Cataluña,2020-03-27,12940,164.48,880,1348,208
Ceuta,2020-03-27,17,20.05,0,7,0
Comunidad de Madrid,2020-03-27,19243,258.92,2412,2077,322
Comunidad Foral de Navarra,2020-03-27,1641,230.96,58,230,9
Comunidad Valenciana,2020-03-27,3532,68.71,198,332,31
España,2020-03-27,64059,127.27,4858,7871,769
Extremadura,2020-03-27,1231,111.64,69,262,11
Galicia,2020-03-27,2322,82.87,43,407,11
Islas Baleares,2020-03-27,755,63.25,22,95,5
Islas Canarias,2020-03-27,878,37.52,27,94,3
La Rioja,2020-03-27,1236,313.45,55,241,12
Melilla,2020-03-27,42,46.25,1,3,0
País Vasco,2020-03-27,4601,189.51,207,655,27
Principado de Asturias,2020-03-27,900,81.44,29,59,2
Región de Murcia,2020-03-27,714,45.45,15,118,7
Andalucía,2020-03-28,4277,47.63,175,484,31
Aragón,2020-03-28,1592,111.5,58,254,0
Cantabria,2020-03-28,937,155.92,22,127,1
Castilla y León,2020-03-28,4791,190.37,321,659,69
Castilla-La Mancha,2020-03-28,4512,207.74,448,578,81
Cataluña,2020-03-28,14263,179.2,1070,1323,190
Ceuta,2020-03-28,17,20.05,1,0,1
Comunidad de Madrid,2020-03-28,21520,278.84,2757,2277,345
Comunidad Foral de Navarra,2020-03-28,1829,257.26,70,188,12
Comunidad Valenciana,2020-03-28,4034,78.02,234,502,36
España,2020-03-28,72248,141.09,5690,8189,832
Extremadura,2020-03-28,1394,124.38,88,163,19
Galicia,2020-03-28,2772,98.43,47,450,4
Islas Baleares,2020-03-28,862,72.56,26,107,4
Islas Canarias,2020-03-28,1025,43.42,36,147,9
La Rioja,2020-03-28,1436,365.53,65,200,10
Melilla,2020-03-28,45,48.56,1,3,0
País Vasco,2020-03-28,5136,209.03,221,535,14
Principado de Asturias,2020-03-28,1004,89.17,33,104,4
Región de Murcia,2020-03-28,802,50.54,17,88,2
Andalucía,2020-03-29,4682,50.45,207,405,32
Aragón,2020-03-29,1858,129.69,93,266,35
Cantabria,2020-03-29,1023,167.28,26,86,4
Castilla y León,2020-03-29,5414,213.46,380,623,59
Castilla-La Mancha,2020-03-29,5246,238.33,539,734,91
Cataluña,2020-03-29,15026,186.46,1226,763,156
Ceuta,2020-03-29,21,23.59,1,4,0
Comunidad de Madrid,2020-03-29,22677,287.14,3082,1157,325
Comunidad Foral de Navarra,2020-03-29,2011,279.42,84,182,14
Comunidad Valenciana,2020-03-29,4784,87.43,267,750,33
España,2020-03-29,78797,151.04,6528,6549,838
Extremadura,2020-03-29,1456,127.47,100,62,12
Galicia,2020-03-29,3139,109.06,60,367,13
Islas Baleares,2020-03-29,958,79.69,29,96,3
Islas Canarias,2020-03-29,1125,47.18,39,100,3
La Rioja,2020-03-29,1629,419.51,68,193,3
Melilla,2020-03-29,48,46.25,1,3,0
País Vasco,2020-03-29,5740,231.45,265,604,44
Principado de Asturias,2020-03-29,1088,92.98,41,84,8
Región de Murcia,2020-03-29,872,53.62,20,70,3
Andalucía,2020-03-30,5405,57.65,236,723,29
Aragón,2020-03-30,2078,144.32,106,220,13
Cantabria,2020-03-30,1100,179.32,27,77,1
Castilla y León,2020-03-30,5801,227.83,442,387,62
Castilla-La Mancha,2020-03-30,5858,260.27,622,612,83
Cataluña,2020-03-30,16157,198.74,1410,1131,184
Ceuta,2020-03-30,25,28.31,1,4,0
Comunidad de Madrid,2020-03-30,24090,299.02,3392,1413,310
Comunidad Foral de Navarra,2020-03-30,2146,286.14,102,135,18
Comunidad Valenciana,2020-03-30,5110,93.95,310,326,43
España,2020-03-30,85195,161.62,7340,6398,812
Extremadura,2020-03-30,1560,135.71,106,104,6
Galicia,2020-03-30,3723,128.84,66,584,6
Islas Baleares,2020-03-30,1000,80.65,37,42,8
Islas Canarias,2020-03-30,1204,50.39,40,79,1
La Rioja,2020-03-30,1733,448.55,71,104,3
Melilla,2020-03-30,51,49.72,1,3,0
País Vasco,2020-03-30,6057,245.81,297,317,32
Principado de Asturias,2020-03-30,1158,95.91,49,70,8
Región de Murcia,2020-03-30,939,57.7,25,67,5
Andalucía,2020-03-31,5818,61.03,248,413,12
Aragón,2020-03-31,2272,156.52,138,194,32
Cantabria,2020-03-31,1171,191.54,37,71,10
Castilla y León,2020-03-31,6211,240.88,516,410,74
Castilla-La Mancha,2020-03-31,6424,288.12,708,566,86
Cataluña,2020-03-31,18773,226.43,1672,2616,262
Ceuta,2020-03-31,34,38.93,1,9,0
Comunidad de Madrid,2020-03-31,27509,339.74,3603,3419,211
Comunidad Foral de Navarra,2020-03-31,2305,304.49,113,159,11
Comunidad Valenciana,2020-03-31,5508,99.27,339,398,29
España,2020-03-31,94417,177.01,8189,9222,849
Extremadura,2020-03-31,1628,138.15,133,68,27
Galicia,2020-03-31,4039,138.8,84,316,18
Islas Baleares,2020-03-31,1069,85,42,69,5
Islas Canarias,2020-03-31,1262,51.73,55,58,15
La Rioja,2020-03-31,1810,459.28,85,77,14
Melilla,2020-03-31,54,42.78,1,3,0
País Vasco,2020-03-31,6320,251.61,325,263,28
Principado de Asturias,2020-03-31,1236,101.97,55,78,6
Región de Murcia,2020-03-31,974,58.71,34,35,9
Andalucía,2020-04-01,6392,65.76,308,574,60
Aragón,2020-04-01,2491,171.68,169,219,31
Cantabria,2020-04-01,1213,197.05,54,42,17
Castilla y León,2020-04-01,6847,257.51,585,636,69
Castilla-La Mancha,2020-04-01,7047,313.45,774,623,66
Cataluña,2020-04-01,19991,236.15,1849,1218,177
Ceuta,2020-04-01,51,58.98,1,17,0
Comunidad de Madrid,2020-04-01,29840,363.22,3865,2331,262
Comunidad Foral de Navarra,2020-04-01,2497,322.68,130,192,17
Comunidad Valenciana,2020-04-01,5922,103.84,395,414,56
España,2020-04-01,102136,188.02,9053,7719,864
Extremadura,2020-04-01,1679,139.08,152,51,19
Galicia,2020-04-01,4432,151.55,103,393,19
Islas Baleares,2020-04-01,1131,88.65,46,62,4
Islas Canarias,2020-04-01,1380,55.68,62,118,7
La Rioja,2020-04-01,1960,486.43,90,150,5
Melilla,2020-04-01,62,48.56,1,8,0
País Vasco,2020-04-01,6838,265.65,369,518,44
Principado de Asturias,2020-04-01,1322,105.59,63,86,8
Región de Murcia,2020-04-01,1041,61.52,37,67,3
Andalucía,2020-04-02,6972,70.88,343,580,35
Aragón,2020-04-02,2700,183.36,200,209,31
Cantabria,2020-04-02,1268,203.93,60,55,6
Castilla y León,2020-04-02,7355,270.34,641,508,56
Castilla-La Mancha,2020-04-02,7682,338.49,854,635,80
Cataluña,2020-04-02,21804,248.88,2093,1813,244
Ceuta,2020-04-02,55,63.7,1,4,0
Comunidad de Madrid,2020-04-02,32155,380.86,4175,2315,310
Comunidad Foral de Navarra,2020-04-02,2682,336.28,141,185,11
Comunidad Valenciana,2020-04-02,6308,107.66,443,386,48
España,2020-04-02,110238,197.96,10003,8102,950
Extremadura,2020-04-02,1837,149.48,181,158,29
Galicia,2020-04-02,4842,162.59,120,410,17
Islas Baleares,2020-04-02,1204,90.04,58,73,12
Islas Canarias,2020-04-02,1444,56.84,68,64,6
La Rioja,2020-04-02,2083,509.79,101,123,11
Melilla,2020-04-02,62,45.09,1,0,0
País Vasco,2020-04-02,7317,277.52,412,479,43
Principado de Asturias,2020-04-02,1384,106.77,69,62,6
Región de Murcia,2020-04-02,1084,61.38,42,43,5
Andalucía,2020-04-03,7374,72.34,376,402,33
Aragón,2020-04-03,2889,191.69,224,189,24
Cantabria,2020-04-03,1321,202.55,64,53,4
Castilla y León,2020-04-03,7875,280.39,723,520,82
Castilla-La Mancha,2020-04-03,8523,367.9,916,841,62
Cataluña,2020-04-03,23460,263.05,2335,1656,242
Ceuta,2020-04-03,62,67.24,1,7,0
Comunidad de Madrid,2020-04-03,34188,405.54,4483,2033,308
Comunidad Foral de Navarra,2020-04-03,2836,348.82,151,154,10
Comunidad Valenciana,2020-04-03,6624,110.3,511,316,68
España,2020-04-03,117710,207.82,10935,7472,932
Extremadura,2020-04-03,1893,149.48,200,56,19
Galicia,2020-04-03,5219,171.92,138,377,18
Islas Baleares,2020-04-03,1257,91.7,69,53,11
Islas Canarias,2020-04-03,1490,55.87,73,46,5
La Rioja,2020-04-03,2224,545.14,109,141,8
Melilla,2020-04-03,70,53.19,2,8,1
País Vasco,2020-04-03,7827,288.16,444,510,32
Principado de Asturias,2020-04-03,1433,106.47,70,49,1
Región de Murcia,2020-04-03,1145,62.99,46,61,4
Andalucía,2020-04-04,7869,75.51,426,495,50
Aragón,2020-04-04,3078,201.17,251,189,27
Cantabria,2020-04-04,1384,201.18,68,63,4
Castilla y León,2020-04-04,8332,286.14,786,457,63
Castilla-La Mancha,2020-04-04,9324,388.66,989,801,73
Cataluña,2020-04-04,24734,267.5,2508,1274,173
Ceuta,2020-04-04,73,80.21,1,11,0
Comunidad de Madrid,2020-04-04,36249,410.12,4723,2061,240
Comunidad Foral de Navarra,2020-04-04,2972,352.79,171,136,20
Comunidad Valenciana,2020-04-04,6901,110.68,571,277,60
España,2020-04-04,124736,212.24,11744,7026,809
Extremadura,2020-04-04,1979,152.19,208,86,8
Galicia,2020-04-04,5625,181,159,406,21
Islas Baleares,2020-04-04,1271,89.17,71,14,2
Islas Canarias,2020-04-04,1564,56.47,78,74,5
La Rioja,2020-04-04,2405,581.13,128,181,19
Melilla,2020-04-04,79,62.44,2,9,0
País Vasco,2020-04-04,8187,292.69,477,360,33
Principado de Asturias,2020-04-04,1522,101.29,76,89,6
Región de Murcia,2020-04-04,1188,63.46,51,43,5
Andalucía,2020-04-05,8301,78.15,470,432,44
Aragón,2020-04-05,3232,204.66,270,154,19
Cantabria,2020-04-05,1441,199.46,68,57,0
Castilla y León,2020-04-05,8749,291.93,847,417,61
Castilla-La Mancha,2020-04-05,10031,403.96,1055,707,66
Cataluña,2020-04-05,26032,277.88,2637,1298,129
Ceuta,2020-04-05,83,92.01,2,10,1
Comunidad de Madrid,2020-04-05,37584,418.44,4941,1335,218
Comunidad Foral de Navarra,2020-04-05,3073,348.36,178,101,7
Comunidad Valenciana,2020-04-05,7184,111.52,613,283,42
España,2020-04-05,130759,217.3,12418,6023,674
Extremadura,2020-04-05,2047,155.75,218,68,10
Galicia,2020-04-05,5944,186.29,174,319,15
Islas Baleares,2020-04-05,1293,83.69,75,22,4
Islas Canarias,2020-04-05,1622,56.1,80,58,2
La Rioja,2020-04-05,2592,611.75,134,187,6
Melilla,2020-04-05,83,67.06,2,4,0
País Vasco,2020-04-05,8628,295.82,515,441,38
Principado de Asturias,2020-04-05,1605,103.64,80,83,4
Región de Murcia,2020-04-05,1235,62.86,59,47,8
Andalucía,2020-04-06,8581,78.68,491,280,21
Aragón,2020-04-06,3347,205.34,284,115,14
Cantabria,2020-04-06,1483,195.5,77,42,9
Castilla y León,2020-04-06,9116,294.26,919,367,72
Castilla-La Mancha,2020-04-06,10602,419.31,1132,571,77
Cataluña,2020-04-06,26824,272.29,2760,792,123
Ceuta,2020-04-06,83,90.83,3,0,1
Comunidad de Madrid,2020-04-06,38723,422.43,5136,1139,195
Comunidad Foral de Navarra,2020-04-06,3231,358.45,187,158,9
Comunidad Valenciana,2020-04-06,7334,108.58,637,150,24
España,2020-04-06,135032,216.78,13055,4273,637
Extremadura,2020-04-06,2068,147.51,228,21,10
Galicia,2020-04-06,6151,183.11,190,207,16
Islas Baleares,2020-04-06,1320,80.04,81,27,6
Islas Canarias,2020-04-06,1649,54.24,85,27,5
La Rioja,2020-04-06,2719,622.48,141,127,7
Melilla,2020-04-06,86,67.06,2,3,0
País Vasco,2020-04-06,8810,289.39,548,182,33
Principado de Asturias,2020-04-06,1646,102.85,86,41,6
Región de Murcia,2020-04-06,1259,61.18,68,24,9
Andalucía,2020-04-07,8767,74.83,528,186,37
Aragón,2020-04-07,3449,203.97,312,102,28
Cantabria,2020-04-07,1501,185.17,85,18,8
Castilla y León,2020-04-07,9581,296.76,982,465,63
Castilla-La Mancha,2020-04-07,11077,423.64,1177,475,45
Cataluña,2020-04-07,28323,266.56,2908,1499,148
Ceuta,2020-04-07,83,90.83,4,0,1
Comunidad de Madrid,2020-04-07,40469,421.96,5371,1746,235
Comunidad Foral de Navarra,2020-04-07,3355,357.83,202,124,15
Comunidad Valenciana,2020-04-07,7443,105.44,672,109,35
España,2020-04-07,140510,214.43,13798,5478,743
Extremadura,2020-04-07,2116,138.61,258,48,30
Galicia,2020-04-07,6331,182.11,204,180,14
Islas Baleares,2020-04-07,1369,77.51,84,49,3
Islas Canarias,2020-04-07,1725,54.24,89,76,4
La Rioja,2020-04-07,2846,645.21,160,127,19
Melilla,2020-04-07,92,74,2,6,0
País Vasco,2020-04-07,9021,285.04,586,211,38
Principado de Asturias,2020-04-07,1679,99.43,96,33,10
Región de Murcia,2020-04-07,1283,60.11,78,24,10
Andalucía,2020-04-08,8997,71.15,605,230,77
Aragón,2020-04-08,3549,200.26,349,100,37
Cantabria,2020-04-08,1572,182.76,92,71,7
Castilla y León,2020-04-08,10058,296.64,1028,477,46
Castilla-La Mancha,2020-04-08,11788,443.12,1255,711,78
Cataluña,2020-04-08,29647,256.8,3041,1324,133
Ceuta,2020-04-08,84,88.47,4,1,0
Comunidad de Madrid,2020-04-08,42450,418,5586,1981,215
Comunidad Foral de Navarra,2020-04-08,3467,346.98,206,112,4
Comunidad Valenciana,2020-04-08,7655,100.7,724,212,52
España,2020-04-08,146690,210.69,14555,6180,757
Extremadura,2020-04-08,2184,135.06,271,68,13
Galicia,2020-04-08,6538,180.96,213,207,9
Islas Baleares,2020-04-08,1412,73.95,89,43,5
Islas Canarias,2020-04-08,1762,51.31,91,37,2
La Rioja,2020-04-08,3467,346.98,177,621,17
Melilla,2020-04-08,93,63.59,2,1,0
País Vasco,2020-04-08,9452,279.96,635,431,49
Principado de Asturias,2020-04-08,1705,90.54,102,26,6
Región de Murcia,2020-04-08,1326,56.83,85,43,7
Andalucía,2020-04-09,9261,69.58,652,264,47
Aragón,2020-04-09,3685,194.73,385,136,36
Cantabria,2020-04-09,1619,163.15,98,47,6
Castilla y León,2020-04-09,10518,292.97,1082,460,54
Castilla-La Mancha,2020-04-09,12489,447.94,1322,701,67
Cataluña,2020-04-09,31043,253.43,3148,1396,107
Ceuta,2020-04-09,84,87.29,4,0,0
Comunidad de Madrid,2020-04-09,43877,400.86,5800,1427,214
Comunidad Foral de Navarra,2020-04-09,3575,330.78,214,108,8
Comunidad Valenciana,2020-04-09,7964,95.21,767,309,43
España,2020-04-09,152446,204.69,15238,5756,683
Extremadura,2020-04-09,2273,122.13,283,89,12
Galicia,2020-04-09,6758,179.4,231,220,18
Islas Baleares,2020-04-09,1448,68.55,89,36,0
Islas Canarias,2020-04-09,1834,48.76,92,72,1
La Rioja,2020-04-09,3026,641.1,182,-441,5
Melilla,2020-04-09,93,62.44,2,0,0
País Vasco,2020-04-09,9806,265.43,689,354,54
Principado de Asturias,2020-04-09,1737,87.6,110,32,8
Región de Murcia,2020-04-09,1356,50.87,88,30,3
Andalucía,2020-04-10,9510,67.94,691,249,39
Aragón,2020-04-10,3831,188.97,409,146,24
Cantabria,2020-04-10,1659,146.11,102,40,4
Castilla y León,2020-04-10,11102,290.47,1129,584,47
Castilla-La Mancha,2020-04-10,13063,449.07,1431,574,109
Cataluña,2020-04-10,31824,246.04,3231,781,83
Ceuta,2020-04-10,91,87.29,4,7,0
Comunidad de Madrid,2020-04-10,44783,383.29,5972,906,172
Comunidad Foral de Navarra,2020-04-10,3748,322.07,218,173,4
Comunidad Valenciana,2020-04-10,8331,95.91,796,367,29
España,2020-04-10,157022,197.68,15843,4576,605
Extremadura,2020-04-10,2332,103.12,288,59,5
Galicia,2020-04-10,6946,171.29,243,188,12
Islas Baleares,2020-04-10,1488,63.77,97,40,8
Islas Canarias,2020-04-10,1858,45.51,94,24,2
La Rioja,2020-04-10,3076,580.81,196,50,14
Melilla,2020-04-10,95,61.28,2,2,0
País Vasco,2020-04-10,10103,249.21,729,297,40
Principado de Asturias,2020-04-10,1799,87.9,121,62,11
Región de Murcia,2020-04-10,1383,44.78,90,27,2
Andalucía,2020-04-11,9712,64.59,737,202,46
Aragón,2020-04-11,3969,180.17,425,138,16
Cantabria,2020-04-11,1719,134.58,107,60,5
Castilla y León,2020-04-11,11543,281.39,1180,441,51
Castilla-La Mancha,2020-04-11,13456,439.97,1483,393,52
Cataluña,2020-04-11,32984,243.91,3331,1160,100
Ceuta,2020-04-11,93,89.65,4,2,0
Comunidad de Madrid,2020-04-11,45849,365.11,6084,1066,112
Comunidad Foral de Navarra,2020-04-11,3817,303.88,227,69,9
Comunidad Valenciana,2020-04-11,8578,90.81,818,247,22
España,2020-04-11,161852,190.54,16353,4830,510
Extremadura,2020-04-11,2486,102.27,303,154,15
